"単語","品詞","品詞細分類1","品詞細分類2","品詞細分類3","活用型","活用形","基本形","読み","発音","長さ","行番号","行内順序","評価"
"計算",""名詞","サ変接続","*","*","*","*","計算","ケイサン","ケイサン"","2","129","32","99.0"
"に",""助詞","格助詞","一般","*","*","*","に","ニ","ニ"","1","129","33","99.0"
"なる",""動詞","自立","*","*","五段・ラ行","基本形","なる","ナル","ナル"","2","129","34","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","129","35","99.0"
"ＧＲＥＥＮ","名詞","未知語","*","*","*","*","ＧＲＥＥＮ","*","*","5","129","36","99.0"
"パーカー",""名詞","一般","*","*","*","*","パーカー","パーカー","パーカー"","4","129","37","99.0"
"欲しい",""形容詞","自立","*","*","形容詞・イ段","基本形","欲しい","ホシイ","ホシイ"","3","129","38","99.0"
"・",""記号","一般","*","*","*","*","・","・","・"","1","129","39","99.0"
"・",""記号","一般","*","*","*","*","・","・","・"","1","129","40","99.0"
"・",""記号","一般","*","*","*","*","・","・","・"","1","129","41","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","129","42","99.0"
"＠ｒｙｏｓｕｋｅ０１１９","名詞","未知語","*","*","*","*","＠ｒｙｏｓｕｋｅ０１１９","*","*","12","130","1","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","130","2","99.0"
"Ｄｅａｔｈ","名詞","未知語","*","*","*","*","Ｄｅａｔｈ","*","*","5","130","3","99.0"
"かね",""名詞","一般","*","*","*","*","かね","カネ","カネ"","2","130","4","99.0"
"…",""記号","一般","*","*","*","*","…","…","…"","1","130","5","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","130","6","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","130","7","99.0"
"で",""助詞","格助詞","一般","*","*","*","で","デ","デ"","1","130","8","99.0"
"我慢",""名詞","サ変接続","*","*","*","*","我慢","ガマン","ガマン"","2","130","9","99.0"
"し",""動詞","自立","*","*","サ変・スル","連用形","する","シ","シ"","1","130","10","99.0"
"て",""動詞","非自立","*","*","一段","連用形","てる","テ","テ"","1","130","11","99.0"
"ます",""助動詞","*","*","*","特殊・マス","基本形","ます","マス","マス"","2","130","12","99.0"
"！","名詞","未知語","*","*","*","*","！","*","*","1","130","13","99.0"
"シルクヱビス","名詞","未知語","*","*","*","*","シルクヱビス","*","*","6","131","1","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","131","2","99.0"
"ＣＭ","名詞","未知語","*","*","*","*","ＣＭ","*","*","2","131","3","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","131","4","99.0"
"田中",""名詞","固有名詞","人名","姓","*","*","田中","タナカ","タナカ"","2","131","5","99.0"
"圭",""名詞","固有名詞","人名","名","*","*","圭","ケイ","ケイ"","1","131","6","99.0"
"と",""助詞","並立助詞","*","*","*","*","と","ト","ト"","1","131","7","99.0"
"井川",""名詞","固有名詞","人名","姓","*","*","井川","イガワ","イガワ"","2","131","8","99.0"
"遥",""名詞","固有名詞","人名","名","*","*","遥","ハルカ","ハルカ"","1","131","9","99.0"
"な",""助動詞","*","*","*","特殊・ダ","体言接続","だ","ナ","ナ"","1","131","10","99.0"
"ん",""名詞","非自立","一般","*","*","*","ん","ン","ン"","1","131","11","99.0"
"てっ",""動詞","自立","*","*","五段・ラ行","連用タ接続","てる","テッ","テッ"","2","131","12","99.0"
"（（（（；","名詞","未知語","*","*","*","*","（（（（；","*","*","5","131","13","99.0"
"゚","名詞","未知語","*","*","*","*","゚","*","*","1","131","14","99.0"
"Д","名詞","未知語","*","*","*","*","Д","*","*","1","131","15","99.0"
"゚","名詞","未知語","*","*","*","*","゚","*","*","1","131","16","99.0"
"）））））））！","名詞","未知語","*","*","*","*","）））））））！","*","*","8","131","17","99.0"
"！","名詞","未知語","*","*","*","*","！","*","*","1","131","18","99.0"
"好き",""名詞","接尾","形容動詞語幹","*","*","*","好き","スキ","スキ"","2","131","19","99.0"
"と",""助詞","格助詞","引用","*","*","*","と","ト","ト"","1","131","20","99.0"
"好き",""名詞","形容動詞語幹","*","*","*","*","好き","スキ","スキ"","2","131","21","99.0"
"が",""助詞","格助詞","一般","*","*","*","が","ガ","ガ"","1","131","22","99.0"
"で",""動詞","自立","*","*","一段","連用形","でる","デ","デ"","1","131","23","99.0"
"てる",""動詞","非自立","*","*","一段","基本形","てる","テル","テル"","2","131","24","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","131","25","99.0"
"箱",""名詞","一般","*","*","*","*","箱","ハコ","ハコ"","1","131","26","99.0"
"買い",""動詞","自立","*","*","五段・ワ行促音便","連用形","買う","カイ","カイ"","2","131","27","99.0"
"する",""動詞","自立","*","*","サ変・スル","基本形","する","スル","スル"","2","131","28","99.0"
"か",""助詞","副助詞／並立助詞／終助詞","*","*","*","*","か","カ","カ"","1","131","29","99.0"
"！","名詞","未知語","*","*","*","*","！","*","*","1","131","30","99.0"
"？","名詞","未知語","*","*","*","*","？","*","*","1","131","31","99.0"
"安易",""名詞","形容動詞語幹","*","*","*","*","安易","アンイ","アンイ"","2","131","32","99.0"
"・",""記号","一般","*","*","*","*","・","・","・"","1","131","33","99.0"
"私",""名詞","代名詞","一般","*","*","*","私","ワタシ","ワタシ"","1","131","34","99.0"
"！","名詞","未知語","*","*","*","*","！","*","*","1","131","35","99.0"
"でも",""接続詞","*","*","*","*","*","でも","デモ","デモ"","2","131","36","99.0"
"購買",""名詞","サ変接続","*","*","*","*","購買","コウバイ","コーバイ"","2","131","37","99.0"
"欲",""名詞","一般","*","*","*","*","欲","ヨク","ヨク"","1","131","38","99.0"
"なんて",""副詞","一般","*","*","*","*","なんて","ナンテ","ナンテ"","3","131","39","99.0"
"そんな",""連体詞","*","*","*","*","*","そんな","ソンナ","ソンナ"","3","131","40","99.0"
"もん",""名詞","一般","*","*","*","*","もん","モン","モン"","2","131","41","99.0"
"！","名詞","未知語","*","*","*","*","！","*","*","1","131","42","99.0"
"！","名詞","未知語","*","*","*","*","！","*","*","1","131","43","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","131","44","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","131","45","99.0"
"から",""助詞","格助詞","一般","*","*","*","から","カラ","カラ"","2","131","46","99.0"
"シルクヱビス","名詞","未知語","*","*","*","*","シルクヱビス","*","*","6","131","47","99.0"
"に",""助詞","格助詞","一般","*","*","*","に","ニ","ニ"","1","131","48","99.0"
"し",""動詞","自立","*","*","サ変・スル","連用形","する","シ","シ"","1","131","49","99.0"
"たら",""助動詞","*","*","*","特殊・タ","仮定形","た","タラ","タラ"","2","131","50","99.0"
"太り",""動詞","自立","*","*","五段・ラ行","連用形","太る","フトリ","フトリ"","2","131","51","99.0"
"ます",""動詞","自立","*","*","五段・サ行","基本形","ます","マス","マス"","2","131","52","99.0"
"な",""助動詞","*","*","*","特殊・ダ","体言接続","だ","ナ","ナ"","1","131","53","99.0"
"（","名詞","未知語","*","*","*","*","（","*","*","1","131","54","99.0"
"´",""記号","一般","*","*","*","*","´","´","´"","1","131","55","99.0"
"Д","名詞","未知語","*","*","*","*","Д","*","*","1","131","56","99.0"
"｀","名詞","未知語","*","*","*","*","｀","*","*","1","131","57","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","131","58","99.0"
"）！","名詞","未知語","*","*","*","*","）！","*","*","2","131","59","99.0"
"風呂",""名詞","一般","*","*","*","*","風呂","フロ","フロ"","2","132","1","99.0"
"上がり",""名詞","一般","*","*","*","*","上がり","アガリ","アガリ"","3","132","2","99.0"
"に",""助詞","格助詞","一般","*","*","*","に","ニ","ニ"","1","132","3","99.0"
"最近",""名詞","副詞可能","*","*","*","*","最近","サイキン","サイキン"","2","132","4","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","132","5","99.0"
"定番",""名詞","一般","*","*","*","*","定番","テイバン","テイバン"","2","132","6","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","132","7","99.0"
"梅",""名詞","一般","*","*","*","*","梅","ウメ","ウメ"","1","132","8","99.0"
"チューブ",""名詞","一般","*","*","*","*","チューブ","チューブ","チューブ"","4","132","9","99.0"
"と",""助詞","並立助詞","*","*","*","*","と","ト","ト"","1","132","10","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","132","11","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","132","12","99.0"
"なう",""動詞","自立","*","*","五段・ワ行促音便","基本形","なう","ナウ","ナウ"","2","132","13","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","133","1","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","133","2","99.0"
"が",""助詞","格助詞","一般","*","*","*","が","ガ","ガ"","1","133","3","99.0"
"安く",""形容詞","自立","*","*","形容詞・アウオ段","連用テ接続","安い","ヤスク","ヤスク"","2","133","4","99.0"
"て",""助詞","接続助詞","*","*","*","*","て","テ","テ"","1","133","5","99.0"
"カロリー",""名詞","一般","*","*","*","*","カロリー","カロリー","カロリー"","4","133","6","99.0"
"低く",""形容詞","自立","*","*","形容詞・アウオ段","連用テ接続","低い","ヒクク","ヒクク"","2","133","7","99.0"
"て",""助詞","接続助詞","*","*","*","*","て","テ","テ"","1","133","8","99.0"
"うまい",""形容詞","自立","*","*","形容詞・アウオ段","基本形","うまい","ウマイ","ウマイ"","3","133","9","99.0"
"の",""名詞","非自立","一般","*","*","*","の","ノ","ノ"","1","133","10","99.0"
"が",""助詞","格助詞","一般","*","*","*","が","ガ","ガ"","1","133","11","99.0"
"人生",""名詞","一般","*","*","*","*","人生","ジンセイ","ジンセイ"","2","133","12","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","133","13","99.0"
"救い",""名詞","一般","*","*","*","*","救い","スクイ","スクイ"","2","133","14","99.0"
"最近",""名詞","副詞可能","*","*","*","*","最近","サイキン","サイキン"","2","134","1","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","134","2","99.0"
"淡麗",""名詞","固有名詞","一般","*","*","*","淡麗","タンレイ","タンレイ"","2","134","3","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","134","4","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","134","5","99.0"
"（","名詞","未知語","*","*","*","*","（","*","*","1","134","6","99.0"
"生",""名詞","接尾","一般","*","*","*","生","セイ","セイ"","1","134","7","99.0"
"）","名詞","未知語","*","*","*","*","）","*","*","1","134","8","99.0"
"で",""助詞","格助詞","一般","*","*","*","で","デ","デ"","1","134","9","99.0"
"も",""助詞","係助詞","*","*","*","*","も","モ","モ"","1","134","10","99.0"
"満足",""名詞","サ変接続","*","*","*","*","満足","マンゾク","マンゾク"","2","134","11","99.0"
"し",""動詞","自立","*","*","サ変・スル","連用形","する","シ","シ"","1","134","12","99.0"
"つつ",""助詞","接続助詞","*","*","*","*","つつ","ツツ","ツツ"","2","134","13","99.0"
"ある",""動詞","自立","*","*","五段・ラ行","基本形","ある","アル","アル"","2","134","14","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","134","15","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","134","16","99.0"
"今日",""名詞","副詞可能","*","*","*","*","今日","キョウ","キョー"","2","135","1","99.0"
"は",""助詞","係助詞","*","*","*","*","は","ハ","ワ"","1","135","2","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","135","3","99.0"
"贅沢",""名詞","一般","*","*","*","*","贅沢","ゼイタク","ゼイタク"","2","135","4","99.0"
"し",""動詞","自立","*","*","サ変・スル","連用形","する","シ","シ"","1","135","5","99.0"
"て",""助詞","接続助詞","*","*","*","*","て","テ","テ"","1","135","6","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","135","7","99.0"
"淡麗",""名詞","固有名詞","一般","*","*","*","淡麗","タンレイ","タンレイ"","2","135","8","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","135","9","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","135","10","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","135","11","99.0"
"（＾","名詞","未知語","*","*","*","*","（＾","*","*","2","135","12","99.0"
"○",""記号","一般","*","*","*","*","○","○","○"","1","135","13","99.0"
"＾）","名詞","未知語","*","*","*","*","＾）","*","*","2","135","14","99.0"
"＠ｇｏｎｔａ５１０","名詞","未知語","*","*","*","*","＠ｇｏｎｔａ５１０","*","*","9","136","1","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","136","2","99.0"
"ほんで",""接続詞","*","*","*","*","*","ほんで","ホンデ","ホンデ"","3","136","3","99.0"
"まだ",""副詞","助詞類接続","*","*","*","*","まだ","マダ","マダ"","2","136","4","99.0"
"寝",""動詞","自立","*","*","一段","連用形","寝る","ネ","ネ"","1","136","5","99.0"
"て",""動詞","非自立","*","*","一段","未然形","てる","テ","テ"","1","136","6","99.0"
"ない",""助動詞","*","*","*","特殊・ナイ","基本形","ない","ナイ","ナイ"","2","136","7","99.0"
"の",""名詞","非自立","一般","*","*","*","の","ノ","ノ"","1","136","8","99.0"
"だ",""助動詞","*","*","*","特殊・ダ","基本形","だ","ダ","ダ"","1","136","9","99.0"
"ね",""助詞","終助詞","*","*","*","*","ね","ネ","ネ"","1","136","10","99.0"
"！","名詞","未知語","*","*","*","*","！","*","*","1","136","11","99.0"
"私",""名詞","代名詞","一般","*","*","*","私","ワタシ","ワタシ"","1","136","12","99.0"
"は",""助詞","係助詞","*","*","*","*","は","ハ","ワ"","1","136","13","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","136","14","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","136","15","99.0"
"一",""名詞","数","*","*","*","*","一","イチ","イチ"","1","136","16","99.0"
"本",""名詞","接尾","助数詞","*","*","*","本","ホン","ホン"","1","136","17","99.0"
"飲ん",""動詞","自立","*","*","五段・マ行","連用タ接続","飲む","ノン","ノン"","2","136","18","99.0"
"だ",""助動詞","*","*","*","特殊・タ","基本形","だ","ダ","ダ"","1","136","19","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","136","20","99.0"
"ご",""接頭詞","名詞接続","*","*","*","*","ご","ゴ","ゴ"","1","136","21","99.0"
"ー","名詞","未知語","*","*","*","*","ー","*","*","1","136","22","99.0"
"さん",""名詞","接尾","人名","*","*","*","さん","サン","サン"","2","136","23","99.0"
"も",""助詞","係助詞","*","*","*","*","も","モ","モ"","1","136","24","99.0"
"飲も",""動詞","自立","*","*","五段・マ行","未然ウ接続","飲む","ノモ","ノモ"","2","136","25","99.0"
"う",""助動詞","*","*","*","不変化型","基本形","う","ウ","ウ"","1","136","26","99.0"
"！","名詞","未知語","*","*","*","*","！","*","*","1","136","27","99.0"
"淡麗",""名詞","固有名詞","一般","*","*","*","淡麗","タンレイ","タンレイ"","2","137","1","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","137","2","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","137","3","99.0"
"☆",""記号","一般","*","*","*","*","☆","☆","☆"","1","137","4","99.0"
"終了",""名詞","サ変接続","*","*","*","*","終了","シュウリョウ","シューリョー"","2","137","5","99.0"
"し",""動詞","自立","*","*","サ変・スル","連用形","する","シ","シ"","1","137","6","99.0"
"た",""助動詞","*","*","*","特殊・タ","基本形","た","タ","タ"","1","137","7","99.0"
"から",""助詞","接続助詞","*","*","*","*","から","カラ","カラ"","2","137","8","99.0"
"赤ワイン",""名詞","一般","*","*","*","*","赤ワイン","アカワイン","アカワイン"","4","137","9","99.0"
"いこ",""動詞","自立","*","*","五段・カ行促音便","未然ウ接続","いく","イコ","イコ"","2","137","10","99.0"
"う",""助動詞","*","*","*","不変化型","基本形","う","ウ","ウ"","1","137","11","99.0"
"か",""助詞","副助詞／並立助詞／終助詞","*","*","*","*","か","カ","カ"","1","137","12","99.0"
"な",""助動詞","*","*","*","特殊・ダ","体言接続","だ","ナ","ナ"","1","137","13","99.0"
"（＃","名詞","未知語","*","*","*","*","（＃","*","*","2","137","14","99.0"
"＾．","名詞","未知語","*","*","*","*","＾．","*","*","2","137","15","99.0"
"＾＃","名詞","未知語","*","*","*","*","＾＃","*","*","2","137","16","99.0"
"）","名詞","未知語","*","*","*","*","）","*","*","1","137","17","99.0"
"♪","名詞","未知語","*","*","*","*","♪","*","*","1","137","18","99.0"
"＠","名詞","未知語","*","*","*","*","＠","*","*","1","137","19","99.0"
"ＫｉｎｏｋｏＭｏｊｏ","名詞","未知語","*","*","*","*","ＫｉｎｏｋｏＭｏｊｏ","*","*","10","137","20","99.0"
"あたり",""名詞","一般","*","*","*","*","あたり","アタリ","アタリ"","3","138","1","99.0"
"め",""名詞","接尾","一般","*","*","*","め","メ","メ"","1","138","2","99.0"
"を",""助詞","格助詞","一般","*","*","*","を","ヲ","ヲ"","1","138","3","99.0"
"つまみ",""動詞","自立","*","*","五段・マ行","連用形","つまむ","ツマミ","ツマミ"","3","138","4","99.0"
"に",""助詞","格助詞","一般","*","*","*","に","ニ","ニ"","1","138","5","99.0"
"淡麗",""名詞","固有名詞","一般","*","*","*","淡麗","タンレイ","タンレイ"","2","138","6","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","138","7","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","138","8","99.0"
"飲ん",""動詞","自立","*","*","五段・マ行","連用タ接続","飲む","ノン","ノン"","2","138","9","99.0"
"でる",""動詞","非自立","*","*","一段","基本形","でる","デル","デル"","2","138","10","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","138","11","99.0"
"３","名詞","未知語","*","*","*","*","３","*","*","1","138","12","99.0"
"月",""名詞","一般","*","*","*","*","月","ツキ","ツキ"","1","138","13","99.0"
"に",""助詞","格助詞","一般","*","*","*","に","ニ","ニ"","1","138","14","99.0"
"なっ",""動詞","自立","*","*","五段・ラ行","連用タ接続","なる","ナッ","ナッ"","2","138","15","99.0"
"たら",""助動詞","*","*","*","特殊・タ","仮定形","た","タラ","タラ"","2","138","16","99.0"
"１","名詞","未知語","*","*","*","*","１","*","*","1","138","17","99.0"
"度",""名詞","接尾","一般","*","*","*","度","ド","ド"","1","138","18","99.0"
"カレー",""名詞","一般","*","*","*","*","カレー","カレー","カレー"","3","138","19","99.0"
"を",""助詞","格助詞","一般","*","*","*","を","ヲ","ヲ"","1","138","20","99.0"
"作ろ",""動詞","自立","*","*","五段・ラ行","未然ウ接続","作る","ツクロ","ツクロ"","2","138","21","99.0"
"う",""助動詞","*","*","*","不変化型","基本形","う","ウ","ウ"","1","138","22","99.0"
"と",""助詞","格助詞","一般","*","*","*","と","ト","ト"","1","138","23","99.0"
"思う",""動詞","自立","*","*","五段・ワ行促音便","基本形","思う","オモウ","オモウ"","2","138","24","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","138","25","99.0"
"家",""名詞","一般","*","*","*","*","家","イエ","イエ"","1","138","26","99.0"
"で",""助詞","格助詞","一般","*","*","*","で","デ","デ"","1","138","27","99.0"
"ルー",""名詞","一般","*","*","*","*","ルー","ルー","ルー"","2","138","28","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","138","29","99.0"
"カレー",""名詞","一般","*","*","*","*","カレー","カレー","カレー"","3","138","30","99.0"
"作る",""動詞","自立","*","*","五段・ラ行","基本形","作る","ツクル","ツクル"","2","138","31","99.0"
"の",""名詞","非自立","一般","*","*","*","の","ノ","ノ"","1","138","32","99.0"
"好き",""名詞","形容動詞語幹","*","*","*","*","好き","スキ","スキ"","2","138","33","99.0"
"な",""助動詞","*","*","*","特殊・ダ","体言接続","だ","ナ","ナ"","1","138","34","99.0"
"ん",""名詞","非自立","一般","*","*","*","ん","ン","ン"","1","138","35","99.0"
"だ",""助動詞","*","*","*","特殊・ダ","基本形","だ","ダ","ダ"","1","138","36","99.0"
"よ",""助詞","終助詞","*","*","*","*","よ","ヨ","ヨ"","1","138","37","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","138","38","99.0"
"＠ｐｉｋｋｏｒｏｈｉｍｅ","名詞","未知語","*","*","*","*","＠ｐｉｋｋｏｒｏｈｉｍｅ","*","*","12","139","1","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","139","2","99.0"
"そんな",""連体詞","*","*","*","*","*","そんな","ソンナ","ソンナ"","3","139","3","99.0"
"こと",""名詞","非自立","一般","*","*","*","こと","コト","コト"","2","139","4","99.0"
"より",""副詞","一般","*","*","*","*","より","ヨリ","ヨリ"","2","139","5","99.0"
"淡麗",""名詞","固有名詞","一般","*","*","*","淡麗","タンレイ","タンレイ"","2","139","6","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","139","7","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","139","8","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","139","9","99.0"
"存在",""名詞","サ変接続","*","*","*","*","存在","ソンザイ","ソンザイ"","2","139","10","99.0"
"感",""名詞","一般","*","*","*","*","感","カン","カン"","1","139","11","99.0"
"よ",""助詞","終助詞","*","*","*","*","よ","ヨ","ヨ"","1","139","12","99.0"
"＼",""記号","一般","*","*","*","*","＼","＼","＼"","1","139","13","99.0"
"（＾ｏ＾）／","名詞","未知語","*","*","*","*","（＾ｏ＾）／","*","*","6","139","14","99.0"
"晩酌",""名詞","サ変接続","*","*","*","*","晩酌","バンシャク","バンシャク"","2","140","1","99.0"
"は",""助詞","係助詞","*","*","*","*","は","ハ","ワ"","1","140","2","99.0"
"発泡",""名詞","サ変接続","*","*","*","*","発泡","ハッポウ","ハッポー"","2","140","3","99.0"
"酒",""名詞","一般","*","*","*","*","酒","サケ","サケ"","1","140","4","99.0"
"（","名詞","未知語","*","*","*","*","（","*","*","1","140","5","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","140","6","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","140","7","99.0"
"）！","名詞","未知語","*","*","*","*","）！","*","*","2","140","8","99.0"
"！","名詞","未知語","*","*","*","*","！","*","*","1","140","9","99.0"
"最近",""名詞","副詞可能","*","*","*","*","最近","サイキン","サイキン"","2","140","10","99.0"
"ビール",""名詞","一般","*","*","*","*","ビール","ビール","ビール"","3","140","11","99.0"
"じゃ",""助詞","副助詞","*","*","*","*","じゃ","ジャ","ジャ"","2","140","12","99.0"
"なく",""助動詞","*","*","*","特殊・ナイ","連用テ接続","ない","ナク","ナク"","2","140","13","99.0"
"て",""助詞","接続助詞","*","*","*","*","て","テ","テ"","1","140","14","99.0"
"も",""助詞","係助詞","*","*","*","*","も","モ","モ"","1","140","15","99.0"
"気",""名詞","一般","*","*","*","*","気","キ","キ"","1","140","16","99.0"
"に",""助詞","格助詞","一般","*","*","*","に","ニ","ニ"","1","140","17","99.0"
"なら",""動詞","自立","*","*","五段・ラ行","未然形","なる","ナラ","ナラ"","2","140","18","99.0"
"なく",""助動詞","*","*","*","特殊・ナイ","連用テ接続","ない","ナク","ナク"","2","140","19","99.0"
"なっ",""動詞","自立","*","*","五段・ラ行","連用タ接続","なる","ナッ","ナッ"","2","140","20","99.0"
"た",""助動詞","*","*","*","特殊・タ","基本形","た","タ","タ"","1","140","21","99.0"
"なぁ",""助詞","終助詞","*","*","*","*","なぁ","ナァ","ナー"","2","140","22","99.0"
"（＊","名詞","未知語","*","*","*","*","（＊","*","*","2","140","23","99.0"
"´",""記号","一般","*","*","*","*","´","´","´"","1","140","24","99.0"
"∇","名詞","未知語","*","*","*","*","∇","*","*","1","140","25","99.0"
"｀）","名詞","未知語","*","*","*","*","｀）","*","*","2","140","26","99.0"
"妻",""名詞","一般","*","*","*","*","妻","ツマ","ツマ"","1","141","1","99.0"
"は",""助詞","係助詞","*","*","*","*","は","ハ","ワ"","1","141","2","99.0"
"寝",""動詞","自立","*","*","一段","連用形","寝る","ネ","ネ"","1","141","3","99.0"
"て",""助詞","接続助詞","*","*","*","*","て","テ","テ"","1","141","4","99.0"
"しまっ",""動詞","非自立","*","*","五段・ワ行促音便","連用タ接続","しまう","シマッ","シマッ"","3","141","5","99.0"
"た",""助動詞","*","*","*","特殊・タ","基本形","た","タ","タ"","1","141","6","99.0"
"の",""名詞","非自立","一般","*","*","*","の","ノ","ノ"","1","141","7","99.0"
"で",""助動詞","*","*","*","特殊・ダ","連用形","だ","デ","デ"","1","141","8","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","141","9","99.0"
"たま",""名詞","一般","*","*","*","*","たま","タマ","タマ"","2","141","10","99.0"
"に",""助詞","格助詞","一般","*","*","*","に","ニ","ニ"","1","141","11","99.0"
"は",""助詞","係助詞","*","*","*","*","は","ハ","ワ"","1","141","12","99.0"
"一",""名詞","数","*","*","*","*","一","イチ","イチ"","1","141","13","99.0"
"人",""名詞","接尾","助数詞","*","*","*","人","ニン","ニン"","1","141","14","99.0"
"で",""助詞","格助詞","一般","*","*","*","で","デ","デ"","1","141","15","99.0"
"飲ん",""動詞","自立","*","*","五段・マ行","連用タ接続","飲む","ノン","ノン"","2","141","16","99.0"
"で",""助詞","接続助詞","*","*","*","*","で","デ","デ"","1","141","17","99.0"
"みよ",""動詞","非自立","*","*","一段","未然ウ接続","みる","ミヨ","ミヨ"","2","141","18","99.0"
"う",""助動詞","*","*","*","不変化型","基本形","う","ウ","ウ"","1","141","19","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","141","20","99.0"
"淡麗",""名詞","固有名詞","一般","*","*","*","淡麗","タンレイ","タンレイ"","2","141","21","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","141","22","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","141","23","99.0"
"が",""助詞","格助詞","一般","*","*","*","が","ガ","ガ"","1","141","24","99.0"
"好き",""名詞","形容動詞語幹","*","*","*","*","好き","スキ","スキ"","2","141","25","99.0"
"です",""助動詞","*","*","*","特殊・デス","基本形","です","デス","デス"","2","141","26","99.0"
"！","名詞","未知語","*","*","*","*","！","*","*","1","141","27","99.0"
"＠ＭＩＹＡＭＯＳＡ","名詞","未知語","*","*","*","*","＠ＭＩＹＡＭＯＳＡ","*","*","9","142","1","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","142","2","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","142","3","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","142","4","99.0"
"だ",""助動詞","*","*","*","特殊・ダ","基本形","だ","ダ","ダ"","1","142","5","99.0"
"けど",""助詞","接続助詞","*","*","*","*","けど","ケド","ケド"","2","142","6","99.0"
"な",""助動詞","*","*","*","特殊・ダ","体言接続","だ","ナ","ナ"","1","142","7","99.0"
"（","名詞","未知語","*","*","*","*","（","*","*","1","142","8","99.0"
"・",""記号","一般","*","*","*","*","・","・","・"","1","142","9","99.0"
"ω",""記号","アルファベット","*","*","*","*","ω","オメガ","オメガ"","1","142","10","99.0"
"・",""記号","一般","*","*","*","*","・","・","・"","1","142","11","99.0"
"）","名詞","未知語","*","*","*","*","）","*","*","1","142","12","99.0"
